dataset,method,alpha,param,declared_T,path,error,shape,runs,T,regret_mean,regret_std,time_mean,time_std
MovieLens,FastPRB,0.85,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T10000_lr10.0073_lr20.0004_h512_ks220_202603230044,,10x10000x5,10,10000,2113.9,35.38205759986267,6869.890409517288,14.704651702938937
MovieLens,FastPRB,0.85,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T10000_lr10.0073_lr20.0004_h80_ks30_202603230045,,10x10000x5,10,10000,2074.8,52.403816654896424,6890.376654815674,10.828639744901954
MovieLens,FastPRB,0.85,eps8.33e-05,1,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T1_k10_initH0_initK0_lr10.0073_lr20.0004_h100_ks40_202607091409,,1x1x5,1,1,1.0,0.0,1.443979263305664,0.0
MovieLens,FastPRB,0.85,eps8.33e-05,1,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T1_k10_initH0_initK0_lr10.0073_lr20.0004_h100_ks40_202607091427,,1x1x5,1,1,1.0,0.0,2.069788932800293,0.0
MovieLens,FastPRB,0.85,eps8.33e-05,1,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T1_k10_initH0_initK0_lr10.0073_lr20.0004_h100_ks40_202607091430,,1x1x5,1,1,1.0,0.0,2.49949312210083,0.0
MovieLens,FastPRB,0.85,eps8.33e-05,2000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T2000_lr10.0073_lr20.0004_202601282224,,1x2000x5,1,2000,501.0,0.0,650.5968198776245,0.0
MovieLens,FastPRB,0.85,eps8.33e-05,500,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T500_lr10.0073_lr20.0004_202601282219,,1x500x5,1,500,209.0,0.0,150.9640772342682,0.0
MovieLens,FastPRB,0.85,eps8.33e-06,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-06_T10000_lr10.0073_lr20.0004_202601270126,,10x10000x5,10,10000,2665.8,61.21568426473725,3889.049080848694,752.7108500970468
MovieLens,FastPRB,0.85,eps8.33e-06,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-06_T10000_lr10.0073_lr20.0004_202601272226,,10x10000x5,10,10000,2074.0,56.10347582815168,4530.101587772369,23.494888817381646
MovieLens,FastPRB,0.85,eps8.33e-07,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-07_T10000_lr10.0073_lr20.0004_202601270126,,10x10000x5,10,10000,2665.8,61.21568426473725,3892.3352797746657,737.4385708072177
